time,left_ticks,right_ticks
1.500000,8300,7306
1.510000,8301,7307
1.520000,8301,7308
1.530000,8302,7309
1.540000,8303,7310
1.550000,8304,7311
1.560000,8305,7312
1.570000,8306,7313
1.580000,8307,7315
1.590000,8308,7316
1.600000,8310,7317
1.610000,8311,7319
1.620000,8312,7320
1.630000,8314,7322
1.640000,8315,7324
1.650000,8317,7326
1.660000,8318,7327
1.670000,8320,7329
1.680000,8322,7331
1.690000,8324,7334
1.700000,8326,7336
1.710000,8328,7338
1.720000,8330,7341
1.730000,8332,7343
1.740000,8334,7346
1.750000,8336,7348
1.760000,8339,7351
1.770000,8341,7354
1.780000,8344,7357
1.790000,8347,7360
1.800000,8349,7363
1.810000,8352,7367
1.820000,8355,7370
1.830000,8358,7373
1.840000,8361,7377
1.850000,8364,7381
1.860000,8367,7385
1.870000,8371,7388
1.880000,8374,7392
1.890000,8377,7397
1.900000,8381,7401
1.910000,8385,7405
1.920000,8388,7410
1.930000,8392,7414
1.940000,8396,7419
1.950000,8400,7424
1.960000,8404,7429
1.970000,8408,7434
1.980000,8413,7439
1.990000,8417,7444
2.000000,8422,7450
2.010000,8426,7455
2.020000,8431,7461
2.030000,8435,7467
2.040000,8440,7473
2.050000,8445,7479
2.060000,8450,7485
2.070000,8455,7492
2.080000,8460,7498
2.090000,8466,7505
2.100000,8471,7511
2.110000,8476,7518
2.120000,8482,7525
2.130000,8487,7532
2.140000,8493,7539
2.150000,8499,7547
2.160000,8505,7554
2.170000,8511,7562
2.180000,8517,7570
2.190000,8523,7578
2.200000,8529,7586
2.210000,8535,7594
2.220000,8541,7602
2.230000,8548,7611
2.240000,8554,7619
2.250000,8561,7628
2.260000,8567,7637
2.270000,8574,7646
2.280000,8581,7655
2.290000,8587,7664
2.300000,8594,7673
2.310000,8601,7683
2.320000,8608,7693
2.330000,8615,7702
2.340000,8622,7712
2.350000,8630,7722
2.360000,8637,7732
2.370000,8644,7743
2.380000,8651,7753
2.390000,8659,7764
2.400000,8666,7774
2.410000,8674,7785
2.420000,8681,7796
2.430000,8689,7807
2.440000,8696,7818
2.450000,8704,7830
2.460000,8711,7841
2.470000,8719,7853
2.480000,8727,7864
2.490000,8734,7876
2.500000,8742,7888
2.510000,8750,7900
2.520000,8758,7912
2.530000,8765,7924
2.540000,8773,7937
2.550000,8781,7949
2.560000,8789,7962
2.570000,8797,7974
2.580000,8804,7987
2.590000,8812,8000
2.600000,8820,8013
2.610000,8828,8026
2.620000,8836,8039
2.630000,8843,8053
2.640000,8851,8066
2.650000,8859,8079
2.660000,8866,8093
2.670000,8874,8106
2.680000,8882,8120
2.690000,8889,8134
2.700000,8897,8148
2.710000,8904,8161
2.720000,8911,8175
2.730000,8919,8189
2.740000,8926,8203
2.750000,8933,8218
2.760000,8940,8232
2.770000,8947,8246
2.780000,8954,8260
2.790000,8961,8274
2.800000,8968,8289
2.810000,8975,8303
2.820000,8981,8318
2.830000,8988,8332
2.840000,8994,8346
2.850000,9001,8361
2.860000,9007,8375
2.870000,9013,8390
2.880000,9019,8404
2.890000,9025,8419
2.900000,9030,8433
2.910000,9036,8448
2.920000,9041,8462
2.930000,9047,8477
2.940000,9052,8491
2.950000,9057,8505
2.960000,9061,8520
2.970000,9066,8534
2.980000,9070,8548
2.990000,9075,8562
3.000000,9079,8577
3.010000,9083,8591
3.020000,9086,8605
3.030000,9090,8619
3.040000,9093,8633
3.050000,9096,8646
3.060000,9099,8660
3.070000,9102,8674
3.080000,9105,8687
3.090000,9107,8701
3.100000,9109,8714
3.110000,9111,8727
3.120000,9112,8740
3.130000,9114,8753
3.140000,9115,8766
3.150000,9116,8779
3.160000,9116,8791
3.170000,9116,8804
3.180000,9116,8816
3.190000,9116,8828
3.200000,9116,8840
3.210000,9115,8852
3.220000,9114,8863
3.230000,9113,8875
3.240000,9111,8886
3.250000,9109,8897
3.260000,9107,8908
3.270000,9105,8918
3.280000,9102,8929
3.290000,9099,8939
3.300000,9095,8949
3.310000,9091,8959
3.320000,9087,8968
